"code_id","source_path","language","analysis_stage","current_status","inputs","outputs","dependencies","validation_source","duplicate_of","included_in_repo","repo_destination","notes"
"CI011","REPO_ROOT/configs/tissues_cns18.yaml","YAML","tissues cns18 governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/tissues_cns18.yaml","sha256=51A8B843CAE944AB35FD1A3EBFBBC937D41F4323A7AF652D0F7FD94DF4AB2BB8"
"CI012","REPO_ROOT/configs/tissues_full77.yaml","YAML","tissues full77 governance","CURRENT_PRODUCTION","versioned scientific contract","portable governed configuration","PyYAML","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","configs/tissues_full77.yaml","sha256=9041CCCEDE49B5BA0A841DB58B3D8CEC47A444F95C788D6D2FC12DE6B542FD20"
"CI013","REPO_ROOT/environment.yml","YAML","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","environment.yml","sha256=63ED8A92A671A39DEFD4F9CD253EEAAA44A7DA6BFDD1316B3E2383417978DA6F"
"CI014","REPO_ROOT/launchers/Full.ps1","PowerShell","Full launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/Full.ps1","sha256=7B718A520E00B9E36D22CC07508759B5133AC9F59F8486C1A6AF17905600116F; repo-relative and fail-closed"
"CI015","REPO_ROOT/launchers/run_reproduction.ps1","PowerShell","run_reproduction launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/run_reproduction.ps1","sha256=1648ABBD7F74351658F1471C0DAD0B64710E46AA843E18C4AB5251A7367777CC; repo-relative and fail-closed"
"CI016","REPO_ROOT/launchers/Run.ps1","PowerShell","Run launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/Run.ps1","sha256=A2FC5800B8ECCB03EC6095682FB7A9D84B8E8FC835C7AC5B0DA1DD2C75939E82; repo-relative and fail-closed"
"CI017","REPO_ROOT/launchers/Smoke.ps1","PowerShell","Smoke launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/Smoke.ps1","sha256=2D320DA1FFEECA3A99A8309DEEC93A394A7C47334F1698F61F01875BBF4FE11D; repo-relative and fail-closed"
"CI018","REPO_ROOT/launchers/validate_release.ps1","PowerShell","validate_release launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/validate_release.ps1","sha256=1301F075D4516CE0D22F6BF6CD7556177315493C3AD3B1C58C86CC4B8342C451; repo-relative and fail-closed"
"CI019","REPO_ROOT/launchers/Verify.ps1","PowerShell","Verify launcher","CURRENT_PRODUCTION","mode and explicit paths","run directory state QA manifest","PowerShell 7; Git; Python 3.12","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","launchers/Verify.ps1","sha256=B72298C21FE6C5112B030A4BB34C6B46055AACAEC8882237E4F425672C010076; repo-relative and fail-closed"
"CI020","REPO_ROOT/pyproject.toml","TOML","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","pyproject.toml","sha256=F2B643E505035899276A34D873411750F266A7F742AF1C5E157C79A3905B5680; explicit src import path for clean-clone tests"
"CI021","REPO_ROOT/requirements-lock.txt","Text","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","requirements-lock.txt","sha256=F1872C232E986D6D8B669C75DE546F752C89EEBBACE9F30593ED5195B268E62E"
"CI022","REPO_ROOT/requirements.txt","Text","environment and release configuration","CURRENT_VALIDATION","release contract","reproducible checkout and environment","Git; Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","requirements.txt","sha256=C5C47ECFBAC90E9CE72B9E8A547F723374DC09AF7DD51685093D122C8199671F"
"CI023","REPO_ROOT/scripts/audit_repository.py","Python","repository release tooling","CURRENT_VALIDATION","tracked release tree","metadata manifests and privacy evidence","Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","scripts/audit_repository.py","sha256=1CF107542D93F4E2C6D311CD1D45E01B12F2F7EC48BFB25291528343B3216CDC"
"CI024","REPO_ROOT/scripts/build_release_manifests.py","Python","repository release tooling","CURRENT_VALIDATION","tracked release tree","metadata manifests and privacy evidence","Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","scripts/build_release_manifests.py","sha256=A6FEA3955A3FC42F7401B53C5CC1C2234AE6BE6644947DEDE6FB6B69B32FE58F"
"CI025","REPO_ROOT/scripts/build_repository_metadata.py","Python","repository release tooling","CURRENT_VALIDATION","tracked release tree","metadata manifests and privacy evidence","Python 3.12","audits/CODE_DOCUMENTATION_AUDIT.md","","YES","scripts/build_repository_metadata.py","sha256=816889450111208242AF41C8A567BBF022C8D1EBDCC367E1E244344724A04599"
"CI026","REPO_ROOT/scripts/sanitize_local_provenance.py","Python","repository release tooling","PUBLIC_EXCLUDED","tracked release tree","metadata manifests and privacy evidence","Python 3.12","PUBLIC_RELEASE_FILE_DECISIONS.tsv","","NO","scripts/sanitize_local_provenance.py","sha256=5FB3E9562C110CD94F7C1A1D0F0D3E3DCF587BE8B5F995640CF9BEE59B262811; excluded from sanitized public tree"
"CI027","REPO_ROOT/src/cardozo_ketamine_hr/__init__.py","Python","  init  ","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/__init__.py","sha256=5AAF81A4B25E0140E953A128A730E103725B38BF4672E9D2EB9FE731A220F5E2"
"CI028","REPO_ROOT/src/cardozo_ketamine_hr/__main__.py","Python","  main  ","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/__main__.py","sha256=9E87D2B5CA08EF4DED078A6953C1F816C4C2A08613D7FBAA8B59656B46C301F5"
"CI029","REPO_ROOT/src/cardozo_ketamine_hr/activity.py","Python","activity normalization","CURRENT_PRODUCTION","activity assertions","normalized activity records","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/activity.py","sha256=75FA7F0E64BD6D9EE3ABB6975B5C78D6C032DCFD8AD772C3A4E7628987AD9C6C"
"CI030","REPO_ROOT/src/cardozo_ketamine_hr/authority_discovery.py","Python","authority discovery","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/authority_discovery.py","YES","src/cardozo_ketamine_hr/authority_discovery.py","sha256=53F8FB06A27AAE7D1966B0E00E8F673CF96CE77608157153122518241ABD6ED9"
"CI031","REPO_ROOT/src/cardozo_ketamine_hr/class_analysis.py","Python","class multivariate suite","CURRENT_PRODUCTION","profiles pairwise metrics and class membership","class scores loadings status residuals","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/class_analysis.py","YES","src/cardozo_ketamine_hr/class_analysis.py","sha256=C00F0E3C647639D68DAEF693C356FC13ED91C2FC55C66FD0516CDC5B065D7C4A"
"CI032","REPO_ROOT/src/cardozo_ketamine_hr/coverage_diagnostics.py","Python","coverage diagnostics","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/coverage_diagnostics.py","YES","src/cardozo_ketamine_hr/coverage_diagnostics.py","sha256=EC174D23BB6133C8830240FD4FFC3DD1DD94B5B044A9081B0BDF774D40C29D0C"
"CI033","REPO_ROOT/src/cardozo_ketamine_hr/expression.py","Python","expression standardization","CURRENT_PRODUCTION","gene-tissue expression","ddof=1 standardized expression","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/expression.py","sha256=00EDFE72880F01876F8318210F5835C54A431913675AEFE64BD7BF52C30FBDB6"
"CI034","REPO_ROOT/src/cardozo_ketamine_hr/family_analysis.py","Python","family analysis","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/family_analysis.py","YES","src/cardozo_ketamine_hr/family_analysis.py","sha256=D235F390DD6DE94841C81D55DA25A6A79A9991600FF1DFE39267E87E13EE1089"
"CI035","REPO_ROOT/src/cardozo_ketamine_hr/family_completion.py","Python","family completion","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/family_completion.py","YES","src/cardozo_ketamine_hr/family_completion.py","sha256=D9C8D94D361F07E87402E2F885C2B67908EAD8F0813D889AEBCD26BF77E75648"
"CI036","REPO_ROOT/src/cardozo_ketamine_hr/figure_repair.py","Python","figure repair","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/figure_repair.py","YES","src/cardozo_ketamine_hr/figure_repair.py","sha256=AB99648ABDF515811C19E0BE3602836B5D1E68760FD521552340E5746ED5BF23"
"CI037","REPO_ROOT/src/cardozo_ketamine_hr/figures.py","Python","multivariate plotting","CURRENT_PRODUCTION","scores distance matrices and linkage","PNG and PDF figures","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/figures.py","YES","src/cardozo_ketamine_hr/figures.py","sha256=65DF8568D086073BC79B97C85AD779483C91887F5C31AEBDE1E8724558D3478F"
"CI038","REPO_ROOT/src/cardozo_ketamine_hr/final_audit.py","Python","family/global multivariate suite","CURRENT_PRODUCTION","35-profile matrices and pairwise metrics","family/global numerical outputs and figures","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/final_audit.py","YES","src/cardozo_ketamine_hr/final_audit.py","sha256=13062D2F3DAF70CE9882A7061C2B47AFAAAAFF2D0A2BC8652310C782A613A969"
"CI039","REPO_ROOT/src/cardozo_ketamine_hr/fingerprint.py","Python","one-sided upper GESD fingerprinting","CURRENT_PRODUCTION","HR vectors and governed parameters","call sets and diagnostics","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/fingerprint.py","YES","src/cardozo_ketamine_hr/fingerprint.py","sha256=03E18FFE0E19EF19E5884372E85E9737C683C529165C7BC1DABAE819794C5303"
"CI040","REPO_ROOT/src/cardozo_ketamine_hr/gpu_backend.py","Python","gpu backend","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/gpu_backend.py","YES","src/cardozo_ketamine_hr/gpu_backend.py","sha256=7DC0FA2BD0F59A9F56CE0BCF475B1C164A56A5A86107C11CFAB3934C0E575FE5"
"CI041","REPO_ROOT/src/cardozo_ketamine_hr/hr.py","Python","HR construction","CURRENT_PRODUCTION","target activity; standardized expression","HR=pActivity*expression_z","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/hr.py","sha256=89FD857FE8117CDA27AB7D15CA97E50C08ABFA0C771006C7FE4D0AAC70FAE9E7"
"CI042","REPO_ROOT/src/cardozo_ketamine_hr/identity.py","Python","compound identity resolution","CURRENT_PRODUCTION","source name; source lane; compounds.yaml","canonical identity or explicit ambiguity","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/identity.py","sha256=747307621799F7F93A67771B7F854467195D281466EA6045D41E0CE16E2CAD02"
"CI043","REPO_ROOT/src/cardozo_ketamine_hr/independent_validation.py","Python","independent numerical validation","CURRENT_PRODUCTION","persisted products and contracts","numerical and structural checks","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/independent_validation.py","YES","src/cardozo_ketamine_hr/independent_validation.py","sha256=1BD42ABC3695CA0BD05BB0266EE90A54E42814495C37FFF5601F7153F302BBBF"
"CI044","REPO_ROOT/src/cardozo_ketamine_hr/multivariate.py","Python","PCA PCoA MDS and clustering","CURRENT_PRODUCTION","continuous sparse and distance matrices","scores loadings coordinates linkage","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/multivariate.py","YES","src/cardozo_ketamine_hr/multivariate.py","sha256=8505B638152250B4A86A1297D403CC93DB32BE911B561D6588FFD81D60B51283"
"CI045","REPO_ROOT/src/cardozo_ketamine_hr/nearest_reference.py","Python","nearest-reference summaries","CURRENT_PRODUCTION","pairwise metrics and rosters","global 5x7 and family 50x7 summaries","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/nearest_reference.py","YES","src/cardozo_ketamine_hr/nearest_reference.py","sha256=1FE64FA4AEA00F018FBE6526A319D54C7F7813FF7AFF0E1737C5A51C526E5783"
"CI046","REPO_ROOT/src/cardozo_ketamine_hr/packaging.py","Python","packaging","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/packaging.py","YES","src/cardozo_ketamine_hr/packaging.py","sha256=BEC0F3453907BEB8DA837479645E3EF0E2ED3B3A0E63B58FEA301CF67F2AE7D0"
"CI047","REPO_ROOT/src/cardozo_ketamine_hr/pairwise_continuous.py","Python","continuous pairwise metrics","CURRENT_PRODUCTION","raw/common HR matrices","RMS cosine Spearman and support metrics","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/pairwise_continuous.py","YES","src/cardozo_ketamine_hr/pairwise_continuous.py","sha256=D73B9432FD4C37125FE60F881C09EB819A29F890AE0D5EBFDC05462C3306E72C"
"CI048","REPO_ROOT/src/cardozo_ketamine_hr/pairwise_fingerprint.py","Python","fingerprint pairwise metrics","CURRENT_PRODUCTION","0/1/NA call matrices","Jaccard and signed sparse cosine","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/pairwise_fingerprint.py","YES","src/cardozo_ketamine_hr/pairwise_fingerprint.py","sha256=BFF725618DB8D57AC98DBF6335FA9DB7DDEA0AAE4D682E74D956BA166272DF1C"
"CI049","REPO_ROOT/src/cardozo_ketamine_hr/pipeline.py","Python","historical path-bound orchestration","LEGACY_SUPERSEDED","legacy project tree","legacy downstream run","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/pipeline.py","YES","src/cardozo_ketamine_hr/pipeline.py","sha256=63CD8537A5A1B03449AD741F237BB9F335C902B6F205C08EE51DFEDF189FCB2F"
"CI050","REPO_ROOT/src/cardozo_ketamine_hr/portable.py","Python","portable Smoke Verify Full orchestration","CURRENT_PRODUCTION","repo frozen authorities; explicit Full external inputs","Smoke Verify and seven-stage Full products; provenance sidecars; combined QA state manifests","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/portable.py","sha256=871A1E8007DB6FB1C756B7FC1FDD0453FDAC5913E50CF23306AF6810465FFEB8; Full resume gates producer outputs and complete v2/v3 project-input inventories; regenerated pooled authorities supplied downstream"
"CI051","REPO_ROOT/src/cardozo_ketamine_hr/qa.py","Python","qa","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/qa.py","YES","src/cardozo_ketamine_hr/qa.py","sha256=E8DEAA531014BA5F0E721FD6711B52F57A1A9AF96E1BB542A12B474CE492A717"
"CI052","REPO_ROOT/src/cardozo_ketamine_hr/query_freeze.py","Python","query freeze","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/query_freeze.py","YES","src/cardozo_ketamine_hr/query_freeze.py","sha256=5DEA44C373707BAF2423D6630DB432317B572C32042CBAA35B288A740CED55F7"
"CI053","REPO_ROOT/src/cardozo_ketamine_hr/residual_analysis.py","Python","residual analysis","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/residual_analysis.py","YES","src/cardozo_ketamine_hr/residual_analysis.py","sha256=59497A282DCACFA86B1D806876A3B0181A15159E120AD3A369E6A77B73318CB5"
"CI054","REPO_ROOT/src/cardozo_ketamine_hr/resource_manager.py","Python","resource manager","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/resource_manager.py","YES","src/cardozo_ketamine_hr/resource_manager.py","sha256=6DAC849419732785F536D27A3EE86FC8BB59ED333833167D93EA80B61B075CC4"
"CI055","REPO_ROOT/src/cardozo_ketamine_hr/tables.py","Python","tables","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/tables.py","YES","src/cardozo_ketamine_hr/tables.py","sha256=C8F57DECB73BF7B16A9B03DFB771500BC74567C0D1B9850A49FD873BAFB50FA7"
"CI056","REPO_ROOT/src/cardozo_ketamine_hr/targets.py","Python","target harmonization","CURRENT_PRODUCTION","source target; feature contract","canonical target resolution","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","src/cardozo_ketamine_hr/targets.py","sha256=A4F44E85D52118A49502EE2759B73A17BD540C2F224ACECB6D885D789D032D84"
"CI057","REPO_ROOT/src/cardozo_ketamine_hr/tissue_normalization.py","Python","tissue normalization","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/tissue_normalization.py","YES","src/cardozo_ketamine_hr/tissue_normalization.py","sha256=9939C7D4E633444576021919B0CC58DCA679BDBEC74E268D9258CB7BF026EE6E"
"CI058","REPO_ROOT/src/cardozo_ketamine_hr/upstream/audit_recover_missing38_biogas_expression_v1.py","Python","Missing38 expression recovery","CURRENT_PRODUCTION","V4 activity; HR-v1; feature dictionary; BioGPS","20x77 recovered expression; 18-target ledger","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","DOWNLOADS_ROOT/audit_recover_missing38_biogas_expression_v1.py","YES","src/cardozo_ketamine_hr/upstream/audit_recover_missing38_biogas_expression_v1.py","sha256=EC7C1CE9CDCB5E8B81E86056B8575CB15881F3540954A10E8B23FAB9568331B0"
"CI059","REPO_ROOT/src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py","Python","species cleanup v2","CURRENT_PRODUCTION","initial activity; identity master; PDSP","17715 cleaned rows; 81-target summary","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/shared/common_scripts/cleanup_pooled_parent_ketamine_activity_v2.py","YES","src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py","sha256=8A2F32FA9E0E8E6D9CA0A57E64BCC29B4CDB41D282208A54C434B46563BAFF9D"
"CI060","REPO_ROOT/src/cardozo_ketamine_hr/upstream/figure4_rightlegend_authority.py","Python","fixed-coordinate Figure 4","CURRENT_PRODUCTION","frozen scores and palette","26-point SVG PDF PNG TIFF","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/publication_figures/Figure_4_CardozoStyle_Final_20260821_121534/bright_rightlabels_20260821_133246/final_rightlegend_20260821_135544/code/build_final_rightlegend.py","YES","src/cardozo_ketamine_hr/upstream/figure4_rightlegend_authority.py","sha256=0C2860E803E2BDB74657611C0DB0075B8CC453C9CCCA6697791959761E2AAA8F"
"CI061","REPO_ROOT/src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py","Python","final activity v4","CURRENT_PRODUCTION","v3 summary","81-row final; 76-row HR input","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/unknown_project/code/finalize_pooled_parent_ketamine_activity_v4.py","YES","src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py","sha256=F01B5D7DD0B3CC1295507D901706E41D139A7B5C44A7C844BAB01661DC67A741"
